Sample_ID,Diameter,Circ,PMCW,CW,OM_Present
200120-1,0.493,0.48,14,8,Monoderm
200120-1,0.452,0.485,14,9,Monoderm
200120-1,0.521,0.505,17,8,Monoderm
200120-1,0.411,0.428,15,9,Monoderm
200120-1,0.465,0.457,17,10,Monoderm
200312-2,0.967,0.561,23,10,Diderm
200312-2,1.02,0.676,21,15,Diderm
200312-2,0.922,0.638,19,12,Diderm
200312-2,0.936,0.639,20,15,Diderm
200312-2,0.966,0.667,19,11,Diderm
200602-1,1.247,0.667,24,26,Monoderm
200602-1,1.263,0.583,23,26,Monoderm
200602-1,1.132,0.704,27,24,Monoderm
200602-1,1.186,0.659,30,27,Monoderm
200602-1,1.064,0.676,35,33,Monoderm
200602-2,1.184,0.687,43,12,Monoderm
200602-2,1.107,0.76,27,14,Monoderm
200602-2,1.197,0.868,51,14,Monoderm
200602-2,1.106,0.873,40,12,Monoderm
200602-2,1.099,0.869,46,14,Monoderm
200602-3,0.609,0.382,50,6,Monoderm
200602-3,0.633,0.466,37,6,Monoderm
200602-3,0.656,0.399,55,8,Monoderm
200602-3,0.796,0.366,28,5,Monoderm
200602-3,0.674,0.333,30,5,Monoderm
200707-1,0.579,0.517,15,6,Diderm
200707-1,0.615,0.519,25,13,Diderm
200707-1,0.636,0.591,21,11,Diderm
200707-1,0.584,0.464,18,10,Diderm
200707-1,0.54,0.496,23,12,Diderm
200707-2,0.38,0.368,23,21,Monoderm
200707-2,0.425,0.477,25,20,Monoderm
200707-2,0.378,0.343,19,19,Monoderm
200707-2,0.382,0.372,19,17,Monoderm
200707-2,0.369,0.373,20,17,Monoderm
200707-3,0.568,0.925,22,7,Diderm
200707-3,0.59,0.908,16,9,Diderm
200707-3,0.631,0.815,22,9,Diderm
200707-3,0.546,0.631,24,10,Diderm
200707-3,0.55,0.397,20,9,Diderm
200707-4,0.49,0.499,17,10,Diderm
200707-4,0.604,0.413,31,18,Diderm
200707-4,0.627,0.456,19,14,Diderm
200707-4,0.64,0.399,14,9,Diderm
200707-4,0.607,0.537,24,10,Diderm
200707-5,0.426,0.407,16,13,Diderm
200707-5,0.409,0.473,14,13,Diderm
200707-5,0.437,0.562,15,15,Diderm
200707-5,0.398,0.507,14,13,Diderm
200707-5,0.365,0.459,14,13,Diderm
200714-1,0.918,0.795,17,6,Diderm
200714-1,0.833,0.606,20,6,Diderm
200714-1,0.82,0.685,17,7,Diderm
200714-1,0.847,0.748,20,7,Diderm
200714-1,0.869,0.731,22,8,Diderm
200714-4,0.797,0.488,31,23,Monoderm
200714-4,0.67,0.694,28,25,Monoderm
200714-4,0.698,0.633,26,25,Monoderm
200714-4,0.681,0.622,31,25,Monoderm
200714-4,0.711,0.603,29,26,Monoderm
