,Strain,Identifier,Carbon_Source,Analysis_Level,Gram,Isolated_From,Genus,Species,Family,Order,Class,Phylum,Kingdom,Domain
200312-1,Ruminococcus_albus_7,DSM_20455,Cellobiose,Basic,positive,Cow,Ruminococcus,Ruminococcus_albus,Oscillospiraceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
200312-2,Prevotella_bryantii_B14,DSM_11371,Glucose,Intermediate,negative,Cow,Prevotella,Prevotella_bryantii,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteroidetes/Chlorobi group,FCB group,Bacteria
200312-3,Mitsuokella_jalaludinii_M9,DSM_13811,Glucose,Basic,negative,Cow,Mitsuokella,Mitsuokella_jalaludinii,Selenomonadaceae,Selenomonadales,Negativicutes,Firmicutes,Terrabacteria group,Bacteria
200602-1,Anaerobutyricum_hallii,DSM_3353,Glucose,Intermediate,positive,Human,Anaerobutyricum,Anaerobutyricum_hallii,Lachnospiraceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
200602-2,Marvinbryantia_formatexigens,DSM_14469,Glucose,Intermediate,positive,Human,Marvinbryantia,Marvinbryantia_formatexigens,Lachnospiraceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
200602-3,Roseburia_intestinalis_L1-82,DSM_14610,Glucose,Intermediate,positive,Human,Roseburia,Roseburia_intestinalis,Lachnospiraceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
200707-1,Anaerovibrio_lipolyticus_5S,DSM_3074,Glucose,Detailed,negative,Sheep,Anaerovibrio,Anaerovibrio_lipolyticus,Selenomonadaceae,Selenomonadales,Negativicutes,Firmicutes,Terrabacteria group,Bacteria
200707-2,Agathobacter_ruminis,DSM_29029,Glucose,Detailed,negative,Sheep,Agathobacter,Agathobacter_ruminis,Lachnospiraceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
200707-3,Bacteroides_cellulosyliticus_CRE21,DSM_14838,Glucose,Intermediate,negative,Human,Bacteroides,Bacteroides_cellulosyliticus,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteroidetes/Chlorobi group,FCB group,Bacteria
200707-4,Wolinella_sp_Vibrio_succinogenes,ATCC_33567,Fumarate_Formate_AsparticAcid,Detailed,negative,Human,Wolinella,Wolinella_sp,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria,delta/epsilon subdivisions,Proteobacteria,Bacteria
200707-5,Pseudobutyrivibrio_sp_LB2011,NA,Soluble_Starch,Detailed,positive,Cow,Pseudobutyrivibrio,Pseudobutyrivibrio_sp,Lachnospiraceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
200714-1,Bacteroides_thetaiotaomicron,DSM_2079,Glucose,Intermediate,negative,Human,Bacteroides,Bacteroides_thetaiotaomicron,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteroidetes/Chlorobi group,FCB group,Bacteria
200714-2,Clostridium_butyricum_5001_beijerinckii,NA,Glucose,Basic,positive,Cow,Clostridium,Clostridium_butyricum,Clostridiaceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
200714-3,Peptostreptococcus_anaerobius_strain_C,NA,Glucose,Basic,positive,Cow,Peptostreptococcus,Peptostreptococcus_anaerobius,Peptostreptococcaceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
200714-4,Clostridium_cadaveris_G65,AGR2141,Glucose,Intermediate,positive,Cow,Clostridium,Clostridium_cadaveris,Clostridiaceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
200714-5,Selenomonas_ruminantium_AB3002_P159,NA,Glucose,Intermediate,negative,Cow,Selenomonas,Selenomonas_ruminantium,Selenomonadaceae,Selenomonadales,Negativicutes,Firmicutes,Terrabacteria group,Bacteria
