"","Y","Mean","X"
"1","Bacteroidales",2.05882154824063,"Oscillospiraceae"
"2","Bifidobacteriaceae",2.06605169087657,"Oscillospiraceae"
"3","Clostridiaceae",2.64022228616441,"Oscillospiraceae"
"4","Coprobacillaceae",2.94379046657634,"Oscillospiraceae"
"5","Eubacteriaceae",2.48426048535,"Oscillospiraceae"
"6","Lachnospiraceae",2.80226585435103,"Oscillospiraceae"
"7","Oscillospiraceae",1.99241449404059,"Oscillospiraceae"
"8","Selenomonadaceae",2.04468654068534,"Oscillospiraceae"
"9","Bacteroidales",2.03943499801422,"Bifidobacteriaceae"
"10","Bifidobacteriaceae",0.800677712625649,"Bifidobacteriaceae"
"11","Clostridiaceae",1.90083742678029,"Bifidobacteriaceae"
"12","Coprobacillaceae",1.79041786334329,"Bifidobacteriaceae"
"13","Eubacteriaceae",1.30512147037841,"Bifidobacteriaceae"
"14","Lachnospiraceae",2.5867954094783,"Bifidobacteriaceae"
"15","Oscillospiraceae",2.06605169087657,"Bifidobacteriaceae"
"16","Selenomonadaceae",2.15519678242487,"Bifidobacteriaceae"
"17","Bacteroidales",2.4629306742709,"Eubacteriaceae"
"18","Bifidobacteriaceae",1.30512147037841,"Eubacteriaceae"
"19","Clostridiaceae",2.24512109506441,"Eubacteriaceae"
"20","Coprobacillaceae",1.94743739700142,"Eubacteriaceae"
"21","Eubacteriaceae",1.1870805752837,"Eubacteriaceae"
"22","Lachnospiraceae",2.99870742327112,"Eubacteriaceae"
"23","Oscillospiraceae",2.48426048535,"Eubacteriaceae"
"24","Selenomonadaceae",2.70619241023089,"Eubacteriaceae"
"25","Bacteroidales",2.60304107146692,"Clostridiaceae"
"26","Bifidobacteriaceae",1.90083742678029,"Clostridiaceae"
"27","Clostridiaceae",2.19594191699186,"Clostridiaceae"
"28","Coprobacillaceae",2.17687405407465,"Clostridiaceae"
"29","Eubacteriaceae",2.24512109506441,"Clostridiaceae"
"30","Lachnospiraceae",2.87124035234668,"Clostridiaceae"
"31","Oscillospiraceae",2.64022228616441,"Clostridiaceae"
"32","Selenomonadaceae",2.49505447279582,"Clostridiaceae"
"33","Bacteroidales",1.85734771000621,"Selenomonadaceae"
"34","Bifidobacteriaceae",2.15519678242487,"Selenomonadaceae"
"35","Clostridiaceae",2.49505447279582,"Selenomonadaceae"
"36","Coprobacillaceae",2.98909488336103,"Selenomonadaceae"
"37","Eubacteriaceae",2.70619241023089,"Selenomonadaceae"
"38","Lachnospiraceae",2.61712741164796,"Selenomonadaceae"
"39","Oscillospiraceae",2.04468654068534,"Selenomonadaceae"
"40","Selenomonadaceae",1.30201422296472,"Selenomonadaceae"
"41","Bacteroidales",2.9044367418857,"Lachnospiraceae"
"42","Bifidobacteriaceae",2.5867954094783,"Lachnospiraceae"
"43","Clostridiaceae",2.87124035234668,"Lachnospiraceae"
"44","Coprobacillaceae",2.78240765982703,"Lachnospiraceae"
"45","Eubacteriaceae",2.99870742327112,"Lachnospiraceae"
"46","Lachnospiraceae",2.78096483722505,"Lachnospiraceae"
"47","Oscillospiraceae",2.80226585435103,"Lachnospiraceae"
"48","Selenomonadaceae",2.61712741164796,"Lachnospiraceae"
"49","Bacteroidales",3.11222199328433,"Coprobacillaceae"
"50","Bifidobacteriaceae",1.79041786334329,"Coprobacillaceae"
"51","Clostridiaceae",2.17687405407465,"Coprobacillaceae"
"52","Coprobacillaceae",1.30239676977821,"Coprobacillaceae"
"53","Eubacteriaceae",1.94743739700142,"Coprobacillaceae"
"54","Lachnospiraceae",2.78240765982703,"Coprobacillaceae"
"55","Oscillospiraceae",2.94379046657634,"Coprobacillaceae"
"56","Selenomonadaceae",2.98909488336103,"Coprobacillaceae"
"57","Bacteroidales",1.41222774910268,"Bacteroidales"
"58","Bifidobacteriaceae",2.03943499801422,"Bacteroidales"
"59","Clostridiaceae",2.60304107146692,"Bacteroidales"
"60","Coprobacillaceae",3.11222199328433,"Bacteroidales"
"61","Eubacteriaceae",2.4629306742709,"Bacteroidales"
"62","Lachnospiraceae",2.9044367418857,"Bacteroidales"
"63","Oscillospiraceae",2.05882154824063,"Bacteroidales"
"64","Selenomonadaceae",1.85734771000621,"Bacteroidales"
