"","X","Y","Mean"
"1","Bacteroidales","Bacteroidales",1.41222774910268
"2","Bacteroidales","Bifidobacteriaceae",2.03943499801422
"3","Bacteroidales","Clostridiaceae",2.60304107146692
"4","Bacteroidales","Coprobacillaceae",3.11222199328433
"5","Bacteroidales","Eubacteriaceae",2.4629306742709
"6","Bacteroidales","Lachnospiraceae",2.9044367418857
"7","Bacteroidales","Oscillospiraceae",2.05882154824063
"8","Bacteroidales","Selenomonadaceae",1.85734771000621
"9","Bifidobacteriaceae","Bifidobacteriaceae",0.800677712625649
"10","Bifidobacteriaceae","Clostridiaceae",1.90083742678029
"11","Bifidobacteriaceae","Coprobacillaceae",1.79041786334329
"12","Bifidobacteriaceae","Eubacteriaceae",1.30512147037841
"13","Bifidobacteriaceae","Lachnospiraceae",2.5867954094783
"14","Bifidobacteriaceae","Oscillospiraceae",2.06605169087657
"15","Bifidobacteriaceae","Selenomonadaceae",2.15519678242487
"16","Clostridiaceae","Clostridiaceae",2.19594191699186
"17","Clostridiaceae","Coprobacillaceae",2.17687405407465
"18","Clostridiaceae","Eubacteriaceae",2.24512109506441
"19","Clostridiaceae","Lachnospiraceae",2.87124035234668
"20","Clostridiaceae","Oscillospiraceae",2.64022228616441
"21","Clostridiaceae","Selenomonadaceae",2.49505447279582
"22","Coprobacillaceae","Coprobacillaceae",1.30239676977821
"23","Coprobacillaceae","Eubacteriaceae",1.94743739700142
"24","Coprobacillaceae","Lachnospiraceae",2.78240765982703
"25","Coprobacillaceae","Oscillospiraceae",2.94379046657634
"26","Coprobacillaceae","Selenomonadaceae",2.98909488336103
"27","Eubacteriaceae","Eubacteriaceae",1.1870805752837
"28","Eubacteriaceae","Lachnospiraceae",2.99870742327112
"29","Eubacteriaceae","Oscillospiraceae",2.48426048535
"30","Eubacteriaceae","Selenomonadaceae",2.70619241023089
"31","Lachnospiraceae","Lachnospiraceae",2.78096483722505
"32","Lachnospiraceae","Oscillospiraceae",2.80226585435103
"33","Lachnospiraceae","Selenomonadaceae",2.61712741164796
"34","Oscillospiraceae","Oscillospiraceae",1.99241449404059
"35","Oscillospiraceae","Selenomonadaceae",2.04468654068534
"36","Selenomonadaceae","Selenomonadaceae",1.30201422296472
