"","Agathobacter_ruminis_DSM_29029","Akkermansia_muciniphila_Muc_DSM_22959","Anaerobutyricum_hallii_DSM_3353","Anaerovibrio_lipolyticus_5S_DSM_3074","Bacteroides_caccae_DSM_19024","Bacteroides_cellulosyliticus_CRE21_DSM_14838","Bacteroides_thetaiotaomicron_DSM_2079","Basfia_succiniciproducens_DSM_22022","Bifidobacterium_adolescentis_DSM_20087","Bifidobacterium_ruminantium_DSM_6489","Butyrivibrio_fibrisolvens_CF3","Butyrivibrio_fibrisolvens_D1_DSM_3071","Butyrivibrio_sp_DSM_10294","Clostridium_aminophilum_F_DSM_10710","Clostridium_cadaveris_G65_AGR2141","Clostridium_paraputrificum_G594_AGR2156","Acetivibrio_thermocellus_LQ8_Clostridium_thermocellum_DSM_1313","Dorea_sp_AGR2135","Eubacterium_pyruvativorans_KHPC4","Eubacterium_siraeum_DSM_15702","Faecalibacterium_prausnitzii_A2-165_DSM_17677","Kandleria_vitulina_DSM_20405","Lachnospira_multipara_G6_ATCC_19207","Ligilactobacillus_ruminis_Lactobacillus_ruminis_DSM_20403","Marvinbryantia_formatexigens_DSM_14469","Methanocorpusculum_labreanum_Z_DSM_4855","Methanomicrobium_mobile_BP_DSM_1539","Prevotella_ruminicola_ATCC_19189","Propionibacteriaceae_bacterium_P6A17","Proteiniclasticum_ruminis_DSM_24773","Pseudobutyrivibrio_sp_LB2011","Roseburia_intestinalis_L1-82_DSM_14610","Roseburia_inulinivorans_DSM_16841","Ruminococcus_bromii_L2-63","Selenomonas_bovis_DSM_23594","Selenomonas_ruminantium_AB3002_P159","Sharpea_azabuensis_DSM_20406","Succinivibrio_dextrinosolvens_DSM_3072","Wolinella_sp_Vibrio_succinogenes_ATCC_33567","Prevotella_bryantii_B14_DSM_11371"
"Agathobacter_ruminis_DSM_29029",0,0.849342105,0.714449213,0.791028142,0.876919749,0.882385939,0.889034677,0.851661631,0.854389722,0.856496834,0.598770852,0.666503188,0.673697917,0.707600596,0.805316092,0.789281364,0.770173938,0.73482347,0.752092724,0.755639098,0.771144279,0.76728972,0.638535032,0.816455696,0.746774194,0.817531557,0.956707317,0.854414042,0.860889396,0.799625968,0.593564511,0.69686747,0.687788298,0.774559194,0.784749578,0.793307593,0.769502502,0.832984762,0.849837134,0.849185497
"Akkermansia_muciniphila_Muc_DSM_22959",0.849342105,0,0.838741396,0.829360967,0.809430255,0.843304188,0.83442623,0.780059906,0.84742268,0.848055105,0.854670248,0.872361809,0.866174056,0.840410959,0.871157071,0.858278898,0.829853862,0.867696629,0.824427481,0.846124475,0.864935065,0.831325301,0.83659902,0.837015423,0.870691824,0.900014704,0.942686056,0.811584327,0.812475634,0.85820174,0.851600388,0.879054564,0.885971493,0.835312747,0.82161595,0.84379833,0.84187881,0.813327981,0.773871734,0.807785888
"Anaerobutyricum_hallii_DSM_3353",0.714449213,0.838741396,0,0.79062069,0.874247635,0.887287509,0.887688583,0.840168878,0.854638864,0.854328358,0.735147867,0.756971208,0.750790177,0.702310427,0.776670717,0.771134526,0.760875746,0.644917768,0.73516129,0.754418605,0.737419173,0.764051884,0.716196137,0.814594425,0.705076741,0.804007337,0.95351645,0.861893882,0.854267083,0.797562268,0.72023642,0.704442861,0.718551611,0.738545338,0.777933352,0.79075115,0.75625552,0.835200472,0.846451613,0.852140078
"Anaerovibrio_lipolyticus_5S_DSM_3074",0.791028142,0.829360967,0.79062069,0,0.867424242,0.87993892,0.879861379,0.821200511,0.858398744,0.855900621,0.798099152,0.816566733,0.810217236,0.767638484,0.820686322,0.812652662,0.778617083,0.820053282,0.782088587,0.799937869,0.810150892,0.812712126,0.777940745,0.819570871,0.827540695,0.850234872,0.944904459,0.850809663,0.837967115,0.81288925,0.785793256,0.829209015,0.8316788,0.805494159,0.568027211,0.537527946,0.814502038,0.80296343,0.806834031,0.844738978
"Bacteroides_caccae_DSM_19024",0.876919749,0.809430255,0.874247635,0.867424242,0,0.506444444,0.38630866,0.844099695,0.889136352,0.8909802,0.87606664,0.874362709,0.871859296,0.869855395,0.883761682,0.87408867,0.871205357,0.883798011,0.867647059,0.878211227,0.880983182,0.874011976,0.867554152,0.888723668,0.879688349,0.889225182,0.962132536,0.652976345,0.875711575,0.876662377,0.876659529,0.885305309,0.891672675,0.885040885,0.866577121,0.862884656,0.880909091,0.858335379,0.86333422,0.667013528
"Bacteroides_cellulosyliticus_CRE21_DSM_14838",0.882385939,0.843304188,0.887287509,0.87993892,0.506444444,0,0.455675228,0.86571611,0.903534304,0.905838816,0.882737885,0.875201808,0.873809524,0.88413242,0.889608177,0.882757435,0.882127822,0.892103472,0.883495146,0.890480032,0.888372093,0.890596562,0.881480054,0.902291667,0.87757732,0.882154882,0.965091973,0.650915668,0.890339426,0.885021292,0.885624538,0.887052784,0.896738266,0.898842169,0.882903534,0.878000361,0.886483324,0.876137304,0.882015024,0.667643743
"Bacteroides_thetaiotaomicron_DSM_2079",0.889034677,0.83442623,0.887688583,0.879861379,0.38630866,0.455675228,0,0.862559242,0.900904692,0.902581182,0.886460554,0.881287401,0.880790191,0.883019593,0.889613734,0.882516028,0.884867154,0.891748156,0.884375,0.892073171,0.893350766,0.887661142,0.881197745,0.901494422,0.88455337,0.886141396,0.964723278,0.680419269,0.887873248,0.883112025,0.888289963,0.891517785,0.898031055,0.896672145,0.879396985,0.876889455,0.888648861,0.872251309,0.880446927,0.68099955
"Basfia_succiniciproducens_DSM_22022",0.851661631,0.780059906,0.840168878,0.821200511,0.844099695,0.86571611,0.862559242,0,0.828290469,0.836538462,0.851317614,0.871112158,0.86407767,0.837011349,0.863945578,0.850877193,0.847169811,0.860073645,0.815480558,0.848684211,0.856755943,0.833274586,0.833440514,0.828409091,0.866603595,0.887523224,0.949659349,0.838541667,0.799641577,0.840168878,0.846844152,0.876592732,0.877565464,0.849698688,0.809724473,0.81738367,0.834762533,0.674125305,0.748806941,0.825361863
"Bifidobacterium_adolescentis_DSM_20087",0.854389722,0.84742268,0.854638864,0.858398744,0.889136352,0.903534304,0.900904692,0.828290469,0,0.26987682,0.862116992,0.863418147,0.865339881,0.851043643,0.88210746,0.866365569,0.863350126,0.866154254,0.837728938,0.842422096,0.858493443,0.829496403,0.842889537,0.809019608,0.869149952,0.90367428,0.959831676,0.873303167,0.742649866,0.866287765,0.851224675,0.876820243,0.878072059,0.836131387,0.848407643,0.861103172,0.834004024,0.840333092,0.850406504,0.87208589
"Bifidobacterium_ruminantium_DSM_6489",0.856496834,0.848055105,0.854328358,0.855900621,0.8909802,0.905838816,0.902581182,0.836538462,0.26987682,0,0.863623866,0.865243179,0.867279224,0.84824781,0.881836945,0.867454068,0.866439417,0.864566929,0.836764175,0.84545771,0.860192423,0.829907867,0.840486867,0.812548114,0.873027091,0.904171364,0.957029778,0.873771956,0.756142964,0.868514151,0.853694875,0.880065975,0.879188296,0.840616046,0.848522942,0.861056199,0.835865258,0.845115453,0.850519584,0.874282261
